descripcion,titulo
Newcastle pagaría varios millones de dólares por el tricolor de 15 años. A Florentino Pérez le dicen que será uno de los ‘mejores cracks del planeta’.,"Kendry Páez, ‘joya de Ecuador’ que el príncipe heredero de Arabia Saudita quiere fichar para dejar ‘nocaut’ al Real Madrid"
"¿Castigo para el zaguero ecuatoriano, que destacó en el Mundial 2022? Inició en la banca ante Atlético San Luis, el torneo de México, y entró en el minuto 82.",Félix Torres es suplente  en Santos Laguna y su DT lo explica así: ‘Estábamos recibiendo muchos goles’
"El directivo honorario de Mushuc Runa también se refirió a Gustavo Alfaro, Nassib Neme, Carlos Alfaro Moreno, Lucía Vallecilla y Marwin Pita.",Luis Alfonso Chango le metió un garrotazo al presidente de la FEF y elogió el trabajo de Miguel Ángel Loor en la Liga Pro
"Ya existen indicios de indiferencia y olvido hacia la luchadora, diploma olímpico en Tokio 2020, por parte de autoridades del deporte ecuatoriano.",Ganadora de diploma olímpico en Tokio 2020 organiza rifa para costear los viajes a sus competencias
N/A,Cuántos jugadores fichó Aucas para defender el título de Liga Pro y debutar en Copa Libertadores
N/A,Luis Alfonso Chango le metió un garrotazo al presidente de la FEF y elogió el trabajo de Miguel Ángel Loor en la Liga Pro
N/A,¿Chango - Mbappé? Presidente honorario de Mushuc Runa se comparó con la estrella de Francia
N/A,"Liga Pro: El récord de Fabián Bustos, la marca perdedora de Liga de Quito, monarcas inéditos, sin bicampeones, y otras curiosidades"
"El país sudamericano no autoriza la extradición en base su la Constitución Federal, pero la Justicia puede evaluar la solicitud de la justicia de Milán.",Desde Italia piden a Brasil que Robinho vaya a prisión para que cumpla condena por violación
"La propiedad tiene siete habitaciones, seis baños, con una sala de fitness de alta tecnología, una gran piscina, un jacuzzi, su propia sala de cine y más zonas.","Así es la mansión de Cristiano Ronaldo en Inglaterra, que está a la venta por una cifra astronómica"
Newcastle pagaría varios millones de dólares por el tricolor de 15 años. A Florentino Pérez le dicen que será uno de los ‘mejores cracks del planeta’.,"Kendry Páez, ‘joya de Ecuador’ que el príncipe heredero de Arabia Saudita quiere fichar para dejar ‘nocaut’ al Real Madrid"
"¿Castigo para el zaguero ecuatoriano, que destacó en el Mundial 2022? Inició en la banca ante Atlético San Luis, el torneo de México, y entró en el minuto 82.",Félix Torres es suplente  en Santos Laguna y su DT lo explica así: ‘Estábamos recibiendo muchos goles’
"Por Ecuador participarán 10 deportistas, entre ellos, Jonathan Martinetti, ganador de múltiples títulos internacionales.",Salinas será sede de la edición 52 del Campeonato Mundial de veleros Sunfish en septiembre
"Ya existen indicios de indiferencia y olvido hacia la luchadora, diploma olímpico en Tokio 2020, por parte de autoridades del deporte ecuatoriano.",Ganadora de diploma olímpico en Tokio 2020 organiza rifa para costear los viajes a sus competencias
"Hay una crisis en el fútbol inca por la negociación de los derechos de TV de la Liga 1, que lideró Agustín Lozano, titular de FPF.",José Luis Chilavert: La Conmebol tiene que proteger a sus felpudos y ahora es el turno del presidente de la Federación de Perú
"Ortiz batió en Sevilla, España, el récord nacional de Ecuador.",Silvia Ortiz rompe récord nacional de maratón femenino y clasifica al Mundial de Atletismo de Budapest
"El exvolante jugó en Barcelona SC, Emelec, y dirigió en Ecuador. Con Peñarol y River Plate ganó títulos internacionales. Ahora trabajará en el fútbol amateur.","Mario Saralegui, de campeón de América y el mundo, a ser DT en la división C de Uruguay"
